scenario,object_path,style,code,x_px,y_px,width_px,height_px
LD1-E1-1280x800-before,fig/3,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD1-E1-1280x800-before,fig/6/1,pushbutton,B13,1061.440000,105.240000,161.920000,27.720000
LD1-E1-1280x800-before,fig/6/5,pushbutton,B15,920.640000,105.240000,130.240000,27.720000
LD1-E1-1280x800-before,fig/6/6,pushbutton,B14,920.640000,148.360000,302.720000,46.200000
LD1-E1-1280x800-before,fig/6/7/4,radiobutton,,920.640000,293.428000,302.720000,41.580000
LD1-E1-1280x800-before,fig/6/7/5,radiobutton,,920.640000,343.324000,302.720000,41.580000
LD1-E1-1280x800-before,fig/6/7/6,radiobutton,,920.640000,393.220000,302.720000,41.580000
LD1-E1-1280x800-before,fig/7/2,pushbutton,B10,65.536000,111.400000,201.216000,30.800000
LD1-E1-1280x800-before,fig/7/3,pushbutton,T12,265.520000,242.320000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/4,pushbutton,T11,600.880000,242.320000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/5,pushbutton,T10,714.064000,316.240000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/6,pushbutton,T09,714.064000,501.040000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/7,pushbutton,T04,538.000000,538.000000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/8,pushbutton,T03,328.400000,538.000000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/9,pushbutton,T02,219.408000,340.880000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/10,pushbutton,T01,219.408000,445.600000,36.000000,40.000000
LD1-E1-1280x800-before,fig/7/19,frame,component:M,308.672000,200.720000,285.056000,123.200000
LD1-E1-1280x800-before,fig/7/20,frame,component:VR1,635.648000,360.880000,192.832000,135.520000
LD1-E1-1280x800-before,fig/7/21,frame,component:R1,367.360000,514.880000,167.680000,86.240000
LD1-E1-1280x800-before,fig/7/22,frame,component:SRC,65.536000,336.240000,150.912000,154.000000
LD1-E1-1280x800-before,fig/7/22/1,pushbutton,B01,79.118080,351.640000,123.747840,38.500000
LD1-E1-1280x800-wired,fig/3,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD1-E1-1280x800-wired,fig/6/1,pushbutton,B13,1061.440000,105.240000,161.920000,27.720000
LD1-E1-1280x800-wired,fig/6/5,pushbutton,B15,920.640000,105.240000,130.240000,27.720000
LD1-E1-1280x800-wired,fig/6/6,pushbutton,B14,920.640000,148.360000,302.720000,46.200000
LD1-E1-1280x800-wired,fig/6/7/4,radiobutton,,920.640000,293.428000,302.720000,41.580000
LD1-E1-1280x800-wired,fig/6/7/5,radiobutton,,920.640000,343.324000,302.720000,41.580000
LD1-E1-1280x800-wired,fig/6/7/6,radiobutton,,920.640000,393.220000,302.720000,41.580000
LD1-E1-1280x800-wired,fig/7/2,pushbutton,B10,65.536000,111.400000,201.216000,30.800000
LD1-E1-1280x800-wired,fig/7/15,pushbutton,T12,265.520000,242.320000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/16,pushbutton,T11,600.880000,242.320000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/17,pushbutton,T10,714.064000,316.240000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/18,pushbutton,T09,714.064000,501.040000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/19,pushbutton,T04,538.000000,538.000000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/20,pushbutton,T03,328.400000,538.000000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/21,pushbutton,T02,219.408000,340.880000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/22,pushbutton,T01,219.408000,445.600000,36.000000,40.000000
LD1-E1-1280x800-wired,fig/7/31,frame,component:M,308.672000,200.720000,285.056000,123.200000
LD1-E1-1280x800-wired,fig/7/32,frame,component:VR1,635.648000,360.880000,192.832000,135.520000
LD1-E1-1280x800-wired,fig/7/33,frame,component:R1,367.360000,514.880000,167.680000,86.240000
LD1-E1-1280x800-wired,fig/7/34,frame,component:SRC,65.536000,336.240000,150.912000,154.000000
LD1-E1-1280x800-wired,fig/7/34/1,pushbutton,B01,79.118080,351.640000,123.747840,38.500000
LD1-E2-1280x800-before,fig/3,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD1-E2-1280x800-before,fig/6/1,pushbutton,B13,1061.440000,105.240000,161.920000,27.720000
LD1-E2-1280x800-before,fig/6/5,pushbutton,B15,920.640000,105.240000,130.240000,27.720000
LD1-E2-1280x800-before,fig/6/6,pushbutton,B14,920.640000,148.360000,302.720000,46.200000
LD1-E2-1280x800-before,fig/6/7/9,edit,,1105.299200,357.184000,118.060800,36.036000
LD1-E2-1280x800-before,fig/6/7/11,edit,,1105.299200,404.308000,118.060800,36.036000
LD1-E2-1280x800-before,fig/7/29,frame,component:M,308.672000,200.720000,285.056000,123.200000
LD1-E2-1280x800-before,fig/7/30,frame,component:VR1,635.648000,360.880000,192.832000,135.520000
LD1-E2-1280x800-before,fig/7/31,frame,component:R1,367.360000,514.880000,167.680000,86.240000
LD1-E2-1280x800-before,fig/7/32,frame,component:SRC,65.536000,336.240000,150.912000,154.000000
LD1-E2-1280x800-before,fig/7/32/1,pushbutton,B01,79.118080,351.640000,123.747840,38.500000
LD1-E2-1280x800-wired,fig/3,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD1-E2-1280x800-wired,fig/6/1,pushbutton,B13,1061.440000,105.240000,161.920000,27.720000
LD1-E2-1280x800-wired,fig/6/5,pushbutton,B15,920.640000,105.240000,130.240000,27.720000
LD1-E2-1280x800-wired,fig/6/6,pushbutton,B14,920.640000,148.360000,302.720000,46.200000
LD1-E2-1280x800-wired,fig/6/7/9,edit,,1105.299200,357.184000,118.060800,36.036000
LD1-E2-1280x800-wired,fig/6/7/11,edit,,1105.299200,404.308000,118.060800,36.036000
LD1-E2-1280x800-wired,fig/7/29,frame,component:M,308.672000,200.720000,285.056000,123.200000
LD1-E2-1280x800-wired,fig/7/30,frame,component:VR1,635.648000,360.880000,192.832000,135.520000
LD1-E2-1280x800-wired,fig/7/31,frame,component:R1,367.360000,514.880000,167.680000,86.240000
LD1-E2-1280x800-wired,fig/7/32,frame,component:SRC,65.536000,336.240000,150.912000,154.000000
LD1-E2-1280x800-wired,fig/7/32/1,pushbutton,B01,79.118080,351.640000,123.747840,38.500000
LD1-E3-1280x800-before,fig/3,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD1-E3-1280x800-before,fig/6/1,pushbutton,B13,1061.440000,105.240000,161.920000,27.720000
LD1-E3-1280x800-before,fig/6/5,pushbutton,B15,920.640000,105.240000,130.240000,27.720000
LD1-E3-1280x800-before,fig/6/6,pushbutton,B14,920.640000,148.360000,302.720000,46.200000
LD1-E3-1280x800-before,fig/6/7/1,radiobutton,,1072.000000,217.198000,139.251200,33.264000
LD1-E3-1280x800-before,fig/6/7/2,radiobutton,,920.640000,217.198000,139.251200,33.264000
LD1-E3-1280x800-before,fig/7/29,frame,component:M,308.672000,200.720000,285.056000,123.200000
LD1-E3-1280x800-before,fig/7/29/1,pushbutton,B06,328.625920,210.576000,245.148160,30.800000
LD1-E3-1280x800-before,fig/7/30,frame,component:VR1,635.648000,360.880000,192.832000,135.520000
LD1-E3-1280x800-before,fig/7/31,frame,component:R1,367.360000,514.880000,167.680000,86.240000
LD1-E3-1280x800-before,fig/7/32,frame,component:SRC,65.536000,336.240000,150.912000,154.000000
LD1-E3-1280x800-before,fig/7/32/1,pushbutton,B01,79.118080,351.640000,123.747840,38.500000
LD1-E3-1280x800-wired,fig/3,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD1-E3-1280x800-wired,fig/6/1,pushbutton,B13,1061.440000,105.240000,161.920000,27.720000
LD1-E3-1280x800-wired,fig/6/5,pushbutton,B15,920.640000,105.240000,130.240000,27.720000
LD1-E3-1280x800-wired,fig/6/6,pushbutton,B14,920.640000,148.360000,302.720000,46.200000
LD1-E3-1280x800-wired,fig/6/7/1,radiobutton,,1072.000000,217.198000,139.251200,33.264000
LD1-E3-1280x800-wired,fig/6/7/2,radiobutton,,920.640000,217.198000,139.251200,33.264000
LD1-E3-1280x800-wired,fig/7/29,frame,component:M,308.672000,200.720000,285.056000,123.200000
