scenario,path,style,tag,x,y,width,height,parent_x,parent_y,parent_width,parent_height,font_px
LD5-E1-1280x800,fig/3/1,pushbutton,B05,1064.960000,105.240000,158.400000,27.720000,896.000000,96.000000,352.000000,616.000000,12.000000
LD5-E1-1280x800,fig/4/1,text,wire,667.684000,240.200000,3.000000,118.160000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/2,text,wire,458.084000,310.440000,3.000000,47.920000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/3,text,wire,458.084000,240.200000,3.000000,60.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/4,text,wire,68.228000,305.440000,3.000000,213.080000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/5,text,wire,69.728000,303.940000,599.456000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/6,text,wire,667.684000,305.440000,3.000000,52.920000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/7,text,wire,386.360000,377.860000,54.224000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/8,text,wire,156.260000,400.360000,3.000000,46.760000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/9,text,wire,157.760000,445.620000,570.112000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/10,text,wire,726.372000,447.120000,3.000000,71.400000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/11,text,wire,499.544000,538.020000,45.840000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/12,text,wire,256.408000,538.020000,54.224000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/13,pushbutton,T12,651.184000,199.200000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/14,pushbutton,T11,441.584000,199.200000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/15,pushbutton,T10,651.184000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/16,pushbutton,T09,441.584000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/17,pushbutton,T08,349.360000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/18,pushbutton,T07,139.760000,359.360000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/19,pushbutton,T06,709.872000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/20,pushbutton,T05,546.384000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/21,pushbutton,T04,462.544000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/22,pushbutton,T03,311.632000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/23,pushbutton,T02,51.728000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/24,pushbutton,T01,219.408000,519.520000,36.000000,40.000000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/25,frame,component:V,484.736000,169.920000,159.296000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/25/1,text,reading:V,494.293760,184.704000,140.180480,35.481600,484.736000,169.920000,159.296000,98.560000,16.000000
LD5-E1-1280x800,fig/4/26,text,lead:V,644.032000,217.700000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/27,text,lead:V,478.584000,217.700000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/28,frame,component:RV,484.736000,336.240000,159.296000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/28/1,text,reading:RV,494.293760,349.176000,140.180480,31.046400,484.736000,336.240000,159.296000,86.240000,16.000000
LD5-E1-1280x800,fig/4/29,text,lead:RV,644.032000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/30,text,lead:RV,478.584000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/31,frame,component:R1,182.912000,336.240000,159.296000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/31/1,text,reading:R1,192.469760,349.176000,140.180480,31.046400,182.912000,336.240000,159.296000,86.240000,16.000000
LD5-E1-1280x800,fig/4/32,text,lead:R1,342.208000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/33,text,lead:R1,176.760000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/34,frame,component:A,585.344000,484.080000,117.376000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/34/1,text,reading:A,592.386560,498.864000,103.290880,35.481600,585.344000,484.080000,117.376000,98.560000,16.000000
LD5-E1-1280x800,fig/4/35,text,lead:A,702.720000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/36,text,lead:A,583.384000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/37,frame,component:K,354.784000,496.400000,100.608000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/37/1,text,reading:K,360.820480,509.336000,88.535040,31.046400,354.784000,496.400000,100.608000,86.240000,16.000000
LD5-E1-1280x800,fig/4/38,text,lead:K,455.392000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/39,text,lead:K,348.632000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/40,frame,component:E,90.688000,484.080000,125.760000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/40/1,text,reading:E,98.233600,498.864000,110.668800,35.481600,90.688000,484.080000,125.760000,98.560000,16.000000
LD5-E1-1280x800,fig/4/41,text,lead:E,216.448000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/42,text,lead:E,88.728000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD5-E1-1280x800,fig/4/43,pushbutton,B03,702.720000,219.200000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,13.000000
LD5-E1-1280x800,fig/4/44,pushbutton,B02,702.720000,280.800000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/45,pushbutton,B01,702.720000,342.400000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,12.000000
LD5-E1-1280x800,fig/4/46,pushbutton,B12,325.440000,111.400000,129.952000,36.960000,32.000000,96.000000,838.400000,616.000000,13.000000
LD5-E1-1280x800,fig/4/47,pushbutton,B11,187.104000,111.400000,129.952000,36.960000,32.000000,96.000000,838.400000,616.000000,13.000000
LD5-E1-1280x800,fig/4/48,pushbutton,B10,48.768000,111.400000,129.952000,36.960000,32.000000,96.000000,838.400000,616.000000,13.000000
LD5-E1-1280x800,fig/4/49,listbox,V02,65.536000,601.120000,612.032000,92.400000,32.000000,96.000000,838.400000,616.000000,14.000000
