Variantas;R1_Ohm;R2_Ohm;R3_Ohm;E_V
LD1-V01;330;330;330;10
LD1-V02;330;470;470;10
LD1-V03;330;680;680;10
LD1-V04;330;820;820;10
LD1-V05;330;1000;1000;10
LD1-V06;330;1200;1200;10
LD1-V07;330;1500;1500;10
LD1-V08;330;2200;2200;10
LD1-V09;470;330;470;10
LD1-V10;470;470;680;10
LD1-V11;470;680;820;10
LD1-V12;470;820;1000;10
LD1-V13;470;1000;1200;10
LD1-V14;470;1200;1500;10
LD1-V15;470;1500;2200;10
LD1-V16;470;2200;330;10
LD1-V17;680;330;680;10
LD1-V18;680;470;820;10
LD1-V19;680;680;1000;10
LD1-V20;680;820;1200;10
LD1-V21;680;1000;1500;10
LD1-V22;680;1200;2200;10
LD1-V23;680;1500;330;10
LD1-V24;680;2200;470;10
LD1-V25;820;330;820;10
LD1-V26;820;470;1000;10
LD1-V27;820;680;1200;10
LD1-V28;820;820;1500;10
LD1-V29;820;1000;2200;10
LD1-V30;820;1200;330;10
LD1-V31;820;1500;470;10
LD1-V32;820;2200;680;10
LD1-V33;1000;330;1000;10
LD1-V34;1000;470;1200;10
LD1-V35;1000;680;1500;10
LD1-V36;1000;820;2200;10
LD1-V37;1000;1000;330;10
LD1-V38;1000;1200;470;10
LD1-V39;1000;1500;680;10
LD1-V40;1000;2200;820;10
LD1-V41;1200;330;1200;10
LD1-V42;1200;470;1500;10
LD1-V43;1200;680;2200;10
LD1-V44;1200;820;330;10
LD1-V45;1200;1000;470;10
LD1-V46;1200;1200;680;10
LD1-V47;1200;1500;820;10
LD1-V48;1200;2200;1000;10
LD1-V49;1500;330;1500;10
LD1-V50;1500;470;2200;10
LD1-V51;1500;680;330;10
LD1-V52;1500;820;470;10
LD1-V53;1500;1000;680;10
LD1-V54;1500;1200;820;10
LD1-V55;1500;1500;1000;10
LD1-V56;1500;2200;1200;10
LD1-V57;2200;330;2200;10
LD1-V58;2200;470;330;10
LD1-V59;2200;680;470;10
LD1-V60;2200;820;680;10
LD1-V61;2200;1000;820;10
LD1-V62;2200;1200;1000;10
LD1-V63;2200;1500;1200;10
LD1-V64;2200;2200;1500;10
