LD2 v1.1 – natyvi Scilab savikontrolė
Vykdymo aplinka: scilab-2026.1.0
PASS | Numatytieji parametrai
PASS | RC įtampų vektorių suma
PASS | RL įtampų vektorių suma
PASS | RC ir RL srovės fazės ženklai
PASS | Rezonansas: XL=XC
PASS | Rezonansas: UR=E
PASS | Rezonansas: ULC=0
PASS | f1 pusė galios
PASS | f2 pusė galios
PASS | BW=R/(2*pi*L)
PASS | UR_RLC vardas nebevirsta URC
PASS | Dešimtainis kablelis
PASS | Neleidžiama įvestis: 1+2
PASS | Neleidžiama įvestis: sqrt(9)
PASS | Neleidžiama įvestis: 1/2
PASS | Neleidžiama įvestis: %pi
PASS | Neleidžiama įvestis: 1e999
PASS | Neleidžiama įvestis: NaN
PASS | Neleidžiama įvestis: 2k
PASS | Neleidžiama įvestis: <tuščia>
PASS | Neleidžiama įvestis: 1 2
PASS | Mokslinė įvestis
PASS | Registro kodų sąrašas > 100 ir be pasikartojimų
PASS | Kontaktų kodai: VM_H=T07, LC_M2=T38
PASS | Mygtukų registro atitikmenys: B15, B11, B41
PASS | Visi 45 registro mygtukų veiksmai apibrėžti
PASS | 12 etapų metodika su kodais
PASS | Instrukcijos deleguojamos į metodiką su kodais
PASS | Pavyzdys 1: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 1
PASS | Pavyzdžio duomenys praeina tikrintuvą 1
PASS | Pavyzdys 2: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 2
PASS | Pavyzdžio duomenys praeina tikrintuvą 2
PASS | Pavyzdys 3: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 3
PASS | Pavyzdžio duomenys praeina tikrintuvą 3
PASS | Pavyzdys 4: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 4
PASS | Pavyzdžio duomenys praeina tikrintuvą 4
PASS | Pavyzdys 5: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 5
PASS | Pavyzdžio duomenys praeina tikrintuvą 5
PASS | Pavyzdys 6: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 6
PASS | Pavyzdžio duomenys praeina tikrintuvą 6
PASS | Pavyzdys 7: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 7
PASS | Pavyzdžio duomenys praeina tikrintuvą 7
PASS | Pavyzdys 8: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 8
PASS | Pavyzdžio duomenys praeina tikrintuvą 8
PASS | Pavyzdys 9: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 9
PASS | Pavyzdžio duomenys praeina tikrintuvą 9
PASS | Pavyzdys 10: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 10
PASS | Pavyzdžio duomenys praeina tikrintuvą 10
PASS | Pavyzdys 11: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 11
PASS | Pavyzdžio duomenys praeina tikrintuvą 11
PASS | Pavyzdys 12: be veikimo klaidos
PASS | Pavyzdys neįskaito studento etapo 12
PASS | Pavyzdžio duomenys praeina tikrintuvą 12
PASS | Nuosekli studento sesija: etapas 1
PASS | Nuosekli studento sesija: etapas 2
PASS | Nuosekli studento sesija: etapas 3
PASS | Nuosekli studento sesija: etapas 4
PASS | Nuosekli studento sesija: etapas 5
PASS | Nuosekli studento sesija: etapas 6
PASS | Nuosekli studento sesija: etapas 7
PASS | Nuosekli studento sesija: etapas 8
PASS | Nuosekli studento sesija: etapas 9
PASS | 5030 Hz tikras ULC rodmuo nėra pakeistas nuliu
PASS | Nuosekli studento sesija: etapas 10
PASS | Nuosekli studento sesija: etapas 11
PASS | Nuosekli studento sesija: etapas 12
PASS | Visi 12 etapų vienoje sesijoje
PASS | Lentelėje 11 taškų ir atskira 0 Hz kilmė
PASS | Matavimų žurnalas išliko tarp etapų
PASS | 11 etapas neįskaitomas vien su teoriniais skaičiais
PASS | Skenavimas išjungus generatorių neįvyksta
PASS | Trumpasis jungimas atmetamas su taisymo nurodymu
PASS | Ampermetro lygiagretus prijungimas atmetamas
PASS | RLC R13 zondai tikrinami teisingai
PASS | Tinkamas naujas rodmuo
PASS | Pasenęs rodmuo neįrašomas pakeitus dažnį
PASS | Išjungimas panaikina gyvo rodmens tinkamumą
PASS | Atjungus zondus nėra skaitinio rodmens
PASS | Neužbaigtas tekstas išsaugomas ankstesniame etape
PASS | Pavyzdys atidaromas tikrame stendo būsenoje
PASS | Grįžimas atkuria studento tekstą ir istoriją
BENDRAS REZULTATAS: PASS
