Variantas;R_Ohm;U1_V;U2_V;U3_V
LD3-V01;33;3;6;9
LD3-V02;33;4;8;12
LD3-V03;33;2;5;8
LD3-V04;33;5;10;12
LD3-V05;33;3;7;11
LD3-V06;33;6;9;12
LD3-V07;33;2;6;10
LD3-V08;33;4;7;10
LD3-V09;47;3;6;9
LD3-V10;47;4;8;12
LD3-V11;47;2;5;8
LD3-V12;47;5;10;12
LD3-V13;47;3;7;11
LD3-V14;47;6;9;12
LD3-V15;47;2;6;10
LD3-V16;47;4;7;10
LD3-V17;56;3;6;9
LD3-V18;56;4;8;12
LD3-V19;56;2;5;8
LD3-V20;56;5;10;12
LD3-V21;56;3;7;11
LD3-V22;56;6;9;12
LD3-V23;56;2;6;10
LD3-V24;56;4;7;10
LD3-V25;68;3;6;9
LD3-V26;68;4;8;12
LD3-V27;68;2;5;8
LD3-V28;68;5;10;12
LD3-V29;68;3;7;11
LD3-V30;68;6;9;12
LD3-V31;68;2;6;10
LD3-V32;68;4;7;10
LD3-V33;82;3;6;9
LD3-V34;82;4;8;12
LD3-V35;82;2;5;8
LD3-V36;82;5;10;12
LD3-V37;82;3;7;11
LD3-V38;82;6;9;12
LD3-V39;82;2;6;10
LD3-V40;82;4;7;10
LD3-V41;100;3;6;9
LD3-V42;100;4;8;12
LD3-V43;100;2;5;8
LD3-V44;100;5;10;12
LD3-V45;100;3;7;11
LD3-V46;100;6;9;12
LD3-V47;100;2;6;10
LD3-V48;100;4;7;10
LD3-V49;120;3;6;9
LD3-V50;120;4;8;12
LD3-V51;120;2;5;8
LD3-V52;120;5;10;12
LD3-V53;120;3;7;11
LD3-V54;120;6;9;12
LD3-V55;120;2;6;10
LD3-V56;120;4;7;10
LD3-V57;150;3;6;9
LD3-V58;150;4;8;12
LD3-V59;150;2;5;8
LD3-V60;150;5;10;12
LD3-V61;150;3;7;11
LD3-V62;150;6;9;12
LD3-V63;150;2;6;10
LD3-V64;150;4;7;10
