Variantas;R1nom;R1;R2nom;R2;U1;U2;U3
LD4-V01;100;96;470;460.6;3;6;9
LD4-V02;100;97;560;565.6;4;8;12
LD4-V03;100;98;680;707.2;2;5;8
LD4-V04;100;99;820;787.2;5;10;12
LD4-V05;100;100;1000;990;3;7;11
LD4-V06;100;101;1200;1224;6;9;12
LD4-V07;100;102;1500;1575;2;6;10
LD4-V08;100;103;1800;1746;4;7;10
LD4-V09;120;124.8;470;470;3;6;9
LD4-V10;120;126;560;576.8;4;8;12
LD4-V11;120;114;680;646;2;5;8
LD4-V12;120;115.2;820;803.6;5;10;12
LD4-V13;120;116.4;1000;1010;3;7;11
LD4-V14;120;117.6;1200;1248;6;9;12
LD4-V15;120;118.8;1500;1440;2;6;10
LD4-V16;120;120;1800;1782;4;7;10
LD4-V17;150;151.5;470;479.4;3;6;9
LD4-V18;150;153;560;588;4;8;12
LD4-V19;150;154.5;680;659.6;2;5;8
LD4-V20;150;156;820;820;5;10;12
LD4-V21;150;157.5;1000;1030;3;7;11
LD4-V22;150;142.5;1200;1140;6;9;12
LD4-V23;150;144;1500;1470;2;6;10
LD4-V24;150;145.5;1800;1818;4;7;10
LD4-V25;180;176.4;470;488.8;3;6;9
LD4-V26;180;178.2;560;537.6;4;8;12
LD4-V27;180;180;680;673.2;2;5;8
LD4-V28;180;181.8;820;836.4;5;10;12
LD4-V29;180;183.6;1000;1050;3;7;11
LD4-V30;180;185.4;1200;1164;6;9;12
LD4-V31;180;187.2;1500;1500;2;6;10
LD4-V32;180;189;1800;1854;4;7;10
LD4-V33;220;209;470;446.5;3;6;9
LD4-V34;220;211.2;560;548.8;4;8;12
LD4-V35;220;213.4;680;686.8;2;5;8
LD4-V36;220;215.6;820;852.8;5;10;12
LD4-V37;220;217.8;1000;960;3;7;11
LD4-V38;220;220;1200;1188;6;9;12
LD4-V39;220;222.2;1500;1530;2;6;10
LD4-V40;220;224.4;1800;1890;4;7;10
LD4-V41;270;278.1;470;455.9;3;6;9
LD4-V42;270;280.8;560;560;4;8;12
LD4-V43;270;283.5;680;700.4;2;5;8
LD4-V44;270;256.5;820;779;5;10;12
LD4-V45;270;259.2;1000;980;3;7;11
LD4-V46;270;261.9;1200;1212;6;9;12
LD4-V47;270;264.6;1500;1560;2;6;10
LD4-V48;270;267.3;1800;1728;4;7;10
LD4-V49;330;330;470;465.3;3;6;9
LD4-V50;330;333.3;560;571.2;4;8;12
LD4-V51;330;336.6;680;714;2;5;8
LD4-V52;330;339.9;820;795.4;5;10;12
LD4-V53;330;343.2;1000;1000;3;7;11
LD4-V54;330;346.5;1200;1236;6;9;12
LD4-V55;330;313.5;1500;1425;2;6;10
LD4-V56;330;316.8;1800;1764;4;7;10
LD4-V57;390;378.3;470;474.7;3;6;9
LD4-V58;390;382.2;560;582.4;4;8;12
LD4-V59;390;386.1;680;652.8;2;5;8
LD4-V60;390;390;820;811.8;5;10;12
LD4-V61;390;393.9;1000;1020;3;7;11
LD4-V62;390;397.8;1200;1260;6;9;12
LD4-V63;390;401.7;1500;1455;2;6;10
LD4-V64;390;405.6;1800;1800;4;7;10
