Variantas;R1nom;R1;RVnom;RV;E;P1;P2;P3
LD5-V01;100;96;470;460.6;9;25;50;75
LD5-V02;100;97;560;565.6;9;20;45;70
LD5-V03;100;98;680;707.2;9;30;55;80
LD5-V04;100;99;820;787.2;9;15;40;65
LD5-V05;100;100;1000;990;9;35;60;85
LD5-V06;100;101;1200;1224;9;25;60;90
LD5-V07;100;102;1500;1575;9;10;50;80
LD5-V08;100;103;1800;1746;9;30;50;70
LD5-V09;120;124.8;470;470;9;25;50;75
LD5-V10;120;126;560;576.8;9;20;45;70
LD5-V11;120;114;680;646;9;30;55;80
LD5-V12;120;115.2;820;803.6;9;15;40;65
LD5-V13;120;116.4;1000;1010;9;35;60;85
LD5-V14;120;117.6;1200;1248;9;25;60;90
LD5-V15;120;118.8;1500;1440;9;10;50;80
LD5-V16;120;120;1800;1782;9;30;50;70
LD5-V17;150;151.5;470;479.4;9;25;50;75
LD5-V18;150;153;560;588;9;20;45;70
LD5-V19;150;154.5;680;659.6;9;30;55;80
LD5-V20;150;156;820;820;9;15;40;65
LD5-V21;150;157.5;1000;1030;9;35;60;85
LD5-V22;150;142.5;1200;1140;9;25;60;90
LD5-V23;150;144;1500;1470;9;10;50;80
LD5-V24;150;145.5;1800;1818;9;30;50;70
LD5-V25;180;176.4;470;488.8;9;25;50;75
LD5-V26;180;178.2;560;537.6;9;20;45;70
LD5-V27;180;180;680;673.2;9;30;55;80
LD5-V28;180;181.8;820;836.4;9;15;40;65
LD5-V29;180;183.6;1000;1050;9;35;60;85
LD5-V30;180;185.4;1200;1164;9;25;60;90
LD5-V31;180;187.2;1500;1500;9;10;50;80
LD5-V32;180;189;1800;1854;9;30;50;70
LD5-V33;220;209;470;446.5;9;25;50;75
LD5-V34;220;211.2;560;548.8;9;20;45;70
LD5-V35;220;213.4;680;686.8;9;30;55;80
LD5-V36;220;215.6;820;852.8;9;15;40;65
LD5-V37;220;217.8;1000;960;9;35;60;85
LD5-V38;220;220;1200;1188;9;25;60;90
LD5-V39;220;222.2;1500;1530;9;10;50;80
LD5-V40;220;224.4;1800;1890;9;30;50;70
LD5-V41;270;278.1;470;455.9;9;25;50;75
LD5-V42;270;280.8;560;560;9;20;45;70
LD5-V43;270;283.5;680;700.4;9;30;55;80
LD5-V44;270;256.5;820;779;9;15;40;65
LD5-V45;270;259.2;1000;980;9;35;60;85
LD5-V46;270;261.9;1200;1212;9;25;60;90
LD5-V47;270;264.6;1500;1560;9;10;50;80
LD5-V48;270;267.3;1800;1728;9;30;50;70
LD5-V49;330;330;470;465.3;9;25;50;75
LD5-V50;330;333.3;560;571.2;9;20;45;70
LD5-V51;330;336.6;680;714;9;30;55;80
LD5-V52;330;339.9;820;795.4;9;15;40;65
LD5-V53;330;343.2;1000;1000;9;35;60;85
LD5-V54;330;346.5;1200;1236;9;25;60;90
LD5-V55;330;313.5;1500;1425;9;10;50;80
LD5-V56;330;316.8;1800;1764;9;30;50;70
LD5-V57;390;378.3;470;474.7;9;25;50;75
LD5-V58;390;382.2;560;582.4;9;20;45;70
LD5-V59;390;386.1;680;652.8;9;30;55;80
LD5-V60;390;390;820;811.8;9;15;40;65
LD5-V61;390;393.9;1000;1020;9;35;60;85
LD5-V62;390;397.8;1200;1260;9;25;60;90
LD5-V63;390;401.7;1500;1455;9;10;50;80
LD5-V64;390;405.6;1800;1800;9;30;50;70
