Variantas;E1;E2;R;Rnom;r1;r2
LD6-V01;9;3;96;100;10;10
LD6-V02;9;4;97;100;10;10
LD6-V03;9;5;98;100;10;10
LD6-V04;9;6;99;100;10;10
LD6-V05;9;7;100;100;10;10
LD6-V06;9;8;101;100;10;10
LD6-V07;9;10;102;100;10;10
LD6-V08;9;12;103;100;10;10
LD6-V09;9;3;124.8;120;10;10
LD6-V10;9;4;126;120;10;10
LD6-V11;9;5;114;120;10;10
LD6-V12;9;6;115.2;120;10;10
LD6-V13;9;7;116.4;120;10;10
LD6-V14;9;8;117.6;120;10;10
LD6-V15;9;10;118.8;120;10;10
LD6-V16;9;12;120;120;10;10
LD6-V17;9;3;151.5;150;10;10
LD6-V18;9;4;153;150;10;10
LD6-V19;9;5;154.5;150;10;10
LD6-V20;9;6;156;150;10;10
LD6-V21;9;7;157.5;150;10;10
LD6-V22;9;8;142.5;150;10;10
LD6-V23;9;10;144;150;10;10
LD6-V24;9;12;145.5;150;10;10
LD6-V25;9;3;176.4;180;10;10
LD6-V26;9;4;178.2;180;10;10
LD6-V27;9;5;180;180;10;10
LD6-V28;9;6;181.8;180;10;10
LD6-V29;9;7;183.6;180;10;10
LD6-V30;9;8;185.4;180;10;10
LD6-V31;9;10;187.2;180;10;10
LD6-V32;9;12;189;180;10;10
LD6-V33;9;3;209;220;10;10
LD6-V34;9;4;211.2;220;10;10
LD6-V35;9;5;213.4;220;10;10
LD6-V36;9;6;215.6;220;10;10
LD6-V37;9;7;217.8;220;10;10
LD6-V38;9;8;220;220;10;10
LD6-V39;9;10;222.2;220;10;10
LD6-V40;9;12;224.4;220;10;10
LD6-V41;9;3;278.1;270;10;10
LD6-V42;9;4;280.8;270;10;10
LD6-V43;9;5;283.5;270;10;10
LD6-V44;9;6;256.5;270;10;10
LD6-V45;9;7;259.2;270;10;10
LD6-V46;9;8;261.9;270;10;10
LD6-V47;9;10;264.6;270;10;10
LD6-V48;9;12;267.3;270;10;10
LD6-V49;9;3;330;330;10;10
LD6-V50;9;4;333.3;330;10;10
LD6-V51;9;5;336.6;330;10;10
LD6-V52;9;6;339.9;330;10;10
LD6-V53;9;7;343.2;330;10;10
LD6-V54;9;8;346.5;330;10;10
LD6-V55;9;10;313.5;330;10;10
LD6-V56;9;12;316.8;330;10;10
LD6-V57;9;3;378.3;390;10;10
LD6-V58;9;4;382.2;390;10;10
LD6-V59;9;5;386.1;390;10;10
LD6-V60;9;6;390;390;10;10
LD6-V61;9;7;393.9;390;10;10
LD6-V62;9;8;397.8;390;10;10
LD6-V63;9;10;401.7;390;10;10
LD6-V64;9;12;405.6;390;10;10
