Variantas;E;r;R1;R2;R3;R4;R5
LD7-V01;3;22;7.3;12.3;22;39.6;66
LD7-V02;4;22;7.3;12.3;22;39.6;66
LD7-V03;5;22;7.3;12.3;22;39.6;66
LD7-V04;6;22;7.3;12.3;22;39.6;66
LD7-V05;7;22;7.3;12.3;22;39.6;66
LD7-V06;8;22;7.3;12.3;22;39.6;66
LD7-V07;10;22;7.3;12.3;22;39.6;66
LD7-V08;12;22;7.3;12.3;22;39.6;66
LD7-V09;3;27;8.9;15.1;27;48.6;81
LD7-V10;4;27;8.9;15.1;27;48.6;81
LD7-V11;5;27;8.9;15.1;27;48.6;81
LD7-V12;6;27;8.9;15.1;27;48.6;81
LD7-V13;7;27;8.9;15.1;27;48.6;81
LD7-V14;8;27;8.9;15.1;27;48.6;81
LD7-V15;10;27;8.9;15.1;27;48.6;81
LD7-V16;12;27;8.9;15.1;27;48.6;81
LD7-V17;3;33;10.9;18.5;33;59.4;99
LD7-V18;4;33;10.9;18.5;33;59.4;99
LD7-V19;5;33;10.9;18.5;33;59.4;99
LD7-V20;6;33;10.9;18.5;33;59.4;99
LD7-V21;7;33;10.9;18.5;33;59.4;99
LD7-V22;8;33;10.9;18.5;33;59.4;99
LD7-V23;10;33;10.9;18.5;33;59.4;99
LD7-V24;12;33;10.9;18.5;33;59.4;99
LD7-V25;3;39;12.9;21.8;39;70.2;117
LD7-V26;4;39;12.9;21.8;39;70.2;117
LD7-V27;5;39;12.9;21.8;39;70.2;117
LD7-V28;6;39;12.9;21.8;39;70.2;117
LD7-V29;7;39;12.9;21.8;39;70.2;117
LD7-V30;8;39;12.9;21.8;39;70.2;117
LD7-V31;10;39;12.9;21.8;39;70.2;117
LD7-V32;12;39;12.9;21.8;39;70.2;117
LD7-V33;3;47;15.5;26.3;47;84.6;141
LD7-V34;4;47;15.5;26.3;47;84.6;141
LD7-V35;5;47;15.5;26.3;47;84.6;141
LD7-V36;6;47;15.5;26.3;47;84.6;141
LD7-V37;7;47;15.5;26.3;47;84.6;141
LD7-V38;8;47;15.5;26.3;47;84.6;141
LD7-V39;10;47;15.5;26.3;47;84.6;141
LD7-V40;12;47;15.5;26.3;47;84.6;141
LD7-V41;3;56;18.5;31.4;56;100.8;168
LD7-V42;4;56;18.5;31.4;56;100.8;168
LD7-V43;5;56;18.5;31.4;56;100.8;168
LD7-V44;6;56;18.5;31.4;56;100.8;168
LD7-V45;7;56;18.5;31.4;56;100.8;168
LD7-V46;8;56;18.5;31.4;56;100.8;168
LD7-V47;10;56;18.5;31.4;56;100.8;168
LD7-V48;12;56;18.5;31.4;56;100.8;168
LD7-V49;3;68;22.4;38.1;68;122.4;204
LD7-V50;4;68;22.4;38.1;68;122.4;204
LD7-V51;5;68;22.4;38.1;68;122.4;204
LD7-V52;6;68;22.4;38.1;68;122.4;204
LD7-V53;7;68;22.4;38.1;68;122.4;204
LD7-V54;8;68;22.4;38.1;68;122.4;204
LD7-V55;10;68;22.4;38.1;68;122.4;204
LD7-V56;12;68;22.4;38.1;68;122.4;204
LD7-V57;3;82;27.1;45.9;82;147.6;246
LD7-V58;4;82;27.1;45.9;82;147.6;246
LD7-V59;5;82;27.1;45.9;82;147.6;246
LD7-V60;6;82;27.1;45.9;82;147.6;246
LD7-V61;7;82;27.1;45.9;82;147.6;246
LD7-V62;8;82;27.1;45.9;82;147.6;246
LD7-V63;10;82;27.1;45.9;82;147.6;246
LD7-V64;12;82;27.1;45.9;82;147.6;246
