Variantas;E;R1;R2;R3;R1nom;R2nom;R3nom
LD8-V01;12;96;460.6;220;100;470;220
LD8-V02;12;97;565.6;283.5;100;560;270
LD8-V03;12;98;707.2;326.7;100;680;330
LD8-V04;12;99;787.2;405.6;100;820;390
LD8-V05;12;100;990;460.6;100;1000;470
LD8-V06;12;101;1224;576.8;100;1200;560
LD8-V07;12;102;1575;659.6;100;1500;680
LD8-V08;12;103;1746;836.4;100;1800;820
LD8-V09;12;124.8;470;259.2;120;470;270
LD8-V10;12;126;576.8;333.3;120;560;330
LD8-V11;12;114;646;370.5;120;680;390
LD8-V12;12;115.2;803.6;470;120;820;470
LD8-V13;12;116.4;1010;588;120;1000;560
LD8-V14;12;117.6;1248;673.2;120;1200;680
LD8-V15;12;118.8;1440;852.8;120;1500;820
LD8-V16;12;120;1782;215.6;120;1800;220
LD8-V17;12;151.5;479.4;339.9;150;470;330
LD8-V18;12;153;588;378.3;150;560;390
LD8-V19;12;154.5;659.6;479.4;150;680;470
LD8-V20;12;156;820;537.6;150;820;560
LD8-V21;12;157.5;1030;686.8;150;1000;680
LD8-V22;12;142.5;1140;779;150;1200;820
LD8-V23;12;144;1470;220;150;1500;220
LD8-V24;12;145.5;1818;283.5;150;1800;270
LD8-V25;12;176.4;488.8;386.1;180;470;390
LD8-V26;12;178.2;537.6;488.8;180;560;470
LD8-V27;12;180;673.2;548.8;180;680;560
LD8-V28;12;181.8;836.4;700.4;180;820;680
LD8-V29;12;183.6;1050;795.4;180;1000;820
LD8-V30;12;185.4;1164;224.4;180;1200;220
LD8-V31;12;187.2;1500;259.2;180;1500;270
LD8-V32;12;189;1854;333.3;180;1800;330
LD8-V33;12;209;446.5;446.5;220;470;470
LD8-V34;12;211.2;548.8;560;220;560;560
LD8-V35;12;213.4;686.8;714;220;680;680
LD8-V36;12;215.6;852.8;811.8;220;820;820
LD8-V37;12;217.8;960;228.8;220;1000;220
LD8-V38;12;220;1188;264.6;220;1200;270
LD8-V39;12;222.2;1530;339.9;220;1500;330
LD8-V40;12;224.4;1890;378.3;220;1800;390
LD8-V41;12;278.1;455.9;571.2;270;470;560
LD8-V42;12;280.8;560;652.8;270;560;680
LD8-V43;12;283.5;700.4;828.2;270;680;820
LD8-V44;12;256.5;779;209;270;820;220
LD8-V45;12;259.2;980;270;270;1000;270
LD8-V46;12;261.9;1212;346.5;270;1200;330
LD8-V47;12;264.6;1560;386.1;270;1500;390
LD8-V48;12;267.3;1728;488.8;270;1800;470
LD8-V49;12;330;465.3;666.4;330;470;680
LD8-V50;12;333.3;571.2;844.6;330;560;820
LD8-V51;12;336.6;714;213.4;330;680;220
LD8-V52;12;339.9;795.4;275.4;330;820;270
LD8-V53;12;343.2;1000;316.8;330;1000;330
LD8-V54;12;346.5;1236;393.9;330;1200;390
LD8-V55;12;313.5;1425;446.5;330;1500;470
LD8-V56;12;316.8;1764;560;330;1800;560
LD8-V57;12;378.3;474.7;861;390;470;820
LD8-V58;12;382.2;582.4;217.8;390;560;220
LD8-V59;12;386.1;652.8;280.8;390;680;270
LD8-V60;12;390;811.8;323.4;390;820;330
LD8-V61;12;393.9;1020;401.7;390;1000;390
LD8-V62;12;397.8;1260;455.9;390;1200;470
LD8-V63;12;401.7;1455;571.2;390;1500;560
LD8-V64;12;405.6;1800;652.8;390;1800;680
